Research Field,Number of Authors,Average H-Index,Average i10-Index,Max H-Index,Min H-Index,Total H-Index
High Energy Physics,1,86.0,201.0,86,86,86
Nuclear,1,86.0,201.0,86,86,86
Speech Analysis,1,73.0,205.0,73,73,73
Biopeptides,1,72.0,356.0,72,72,72
Proteases,1,72.0,356.0,72,72,72
Bioactive Substances,1,72.0,336.0,72,72,72
Animal Production,1,66.0,183.0,66,66,66
Science Politique,1,63.0,230.0,63,63,63
Sociologie Des Professions,1,63.0,230.0,63,63,63
Metaheuristique,1,62.0,200.0,62,62,62
Multicritres,1,62.0,200.0,62,62,62
Nanocelluloses,1,60.0,162.0,60,60,60
Nanocomposite,1,60.0,162.0,60,60,60
Cellulose Nanofibrils,1,60.0,162.0,60,60,60
Traitement Du Signal,1,60.0,219.0,60,60,60
Porous Silicon,1,59.0,385.0,59,59,59
Gettering,1,59.0,385.0,59,59,59
Silicon Solar Cells,1,59.0,385.0,59,59,59
Mpls,1,55.0,278.0,55,55,55
Gnie Logiciel Rpartie,1,53.0,204.0,53,53,53
Physics Chemistry,1,53.0,211.0,53,53,53
Rseau M2M,1,53.0,204.0,53,53,53
Sequential Analysis,1,53.0,397.0,53,53,53
Diageneis,1,53.0,397.0,53,53,53
Fasting,1,51.0,150.0,51,51,51
Vehicular Network,1,51.0,132.0,51,51,51
Water Desalination,1,51.0,226.0,51,51,51
Genie Electrique,1,51.0,167.0,51,51,51
Thermal Power,1,51.0,226.0,51,51,51
Fog/Cloud Computing,1,51.0,132.0,51,51,51
Orthopaedics,1,51.0,71.0,51,51,51
Lipopeptides,2,51.0,202.0,72,30,102
Exercice Musculaire,1,50.0,123.0,50,50,50
Chronobiologie,1,50.0,123.0,50,50,50
Neurogenetics,2,49.0,115.5,58,40,98
Operatot Theory,1,49.0,175.0,49,49,49
Handwriting Analysis And Recognition,1,49.0,376.0,49,49,49
Computer Graphics - 3D Object Modeling,1,49.0,216.0,49,49,49
Mathematics - Associate Professor,1,49.0,175.0,49,49,49
Microbiology-Illunology,1,49.0,178.0,49,49,49
Biochimie-Enzymologie-Biotechnologie,1,49.0,141.0,49,49,49
Intensive Care Medicine,1,49.0,93.0,49,49,49
Energy System Modelling,1,46.0,186.0,46,46,46
Programmation,1,46.0,92.0,46,46,46
Fractionnal Order Models,1,46.0,186.0,46,46,46
Technologie,1,46.0,92.0,46,46,46
Bond Graphs,1,46.0,186.0,46,46,46
Tendon,1,45.0,140.0,45,45,45
Medical Communication,1,45.0,143.0,45,45,45
Hyaluronan,1,45.0,140.0,45,45,45
Cloud Security,1,45.0,143.0,45,45,45
Synovium,1,45.0,140.0,45,45,45
Osteoarthritis,1,45.0,140.0,45,45,45
Pharmacognosie Phytochimie Phytothrapie,1,45.0,159.0,45,45,45
Tendinopathy,1,45.0,140.0,45,45,45
Som,1,44.0,76.0,44,44,44
Kohonen,1,44.0,76.0,44,44,44
Abiotic Constraints,2,43.0,175.0,72,14,86
- Ethnopharmacologie Staps - Nutrition,1,43.0,109.0,43,43,43
Cancer Biology And Therapeutics,1,42.0,109.0,42,42,42
Semiconductor Devices,1,42.0,105.0,42,42,42
Halophytes,2,41.5,173.5,72,11,83
Chimie Thorique,1,41.0,138.0,41,41,41
Sleep,2,40.0,103.0,51,29,80
Maghreb,2,39.5,128.0,63,16,79
Magnetocaloric,1,39.0,80.0,39,39,39
Biologie Immunologie,1,39.0,105.0,39,39,39
Volution,1,39.0,69.0,39,39,39
Cophysiologie Environnement,1,39.0,69.0,39,39,39
Multiferroique,1,39.0,80.0,39,39,39
Magnetoresistance,1,39.0,80.0,39,39,39
Mitochondrial Genetics,1,38.0,129.0,38,38,38
Forming Processes,1,37.0,72.0,37,37,37
Plantes Mdicinales Et Pathologies Humaines,1,37.0,53.0,37,37,37
Microbial Resource Management,1,37.0,81.0,37,37,37
Biodegradation,1,37.0,65.0,37,37,37
Nanotechnology And Photonic Glasses,1,37.0,102.0,37,37,37
Food Science And Technology,4,36.75,92.75,61,8,147
Training,2,36.5,92.0,51,22,73
Semiconductor,2,36.5,201.0,59,14,73
Caractrisation Thermophysique,1,36.0,70.0,36,36,36
Thermique De Batiments,1,36.0,70.0,36,36,36
Neurotoxicology,1,36.0,71.0,36,36,36
Video And Image Processing,1,36.0,59.0,36,36,36
Mthodes Inverses,1,36.0,70.0,36,36,36
Neuroinflammation,1,36.0,71.0,36,36,36
Animal Models,1,36.0,71.0,36,36,36
Engineering & Technology / Food Science,1,36.0,77.0,36,36,36
Milieux Poreux,1,36.0,70.0,36,36,36
Toxicologie Molculaire,1,35.0,77.0,35,35,35
Renewable And Sustainable Energy,2,35.0,127.5,51,19,70
Capteur,1,35.0,120.0,35,35,35
Medical Pedagogy,1,35.0,74.0,35,35,35
Biotechnologie Et Biologie Vgtale,1,34.0,58.0,34,34,34
Technologie Membranaire,1,34.0,66.0,34,34,34
Bioeffects Of Electromagnetic Field,1,34.0,63.0,34,34,34
Procds De Separation,1,34.0,66.0,34,34,34
Joint Clearance,1,33.0,59.0,33,33,33
Proteomics,1,33.0,66.0,33,33,33
Culinary Worker Experiences & Mh&W,1,33.0,53.0,33,33,33
Tourism And Hospitality Workforce,1,33.0,53.0,33,33,33
Eco-Physiology,1,33.0,66.0,33,33,33
Food Tourism And Food Studies,1,33.0,53.0,33,33,33
Dynamic Of Flexible Multibody Systems,1,33.0,59.0,33,33,33
Optimization Techniques,1,33.0,59.0,33,33,33
Molecular Microbiology,1,33.0,61.0,33,33,33
Scholarship Of,1,33.0,53.0,33,33,33
Electrical Drives,1,33.0,133.0,33,33,33
Biosurfactant,1,33.0,52.0,33,33,33
Nuclear Physics-Hadronic Physics,1,33.0,45.0,33,33,33
Mechanism Synthesis,1,33.0,59.0,33,33,33
Microbiogy,1,33.0,52.0,33,33,33
Oils And Fats: Characterization And,1,32.0,72.0,32,32,32
Mcanique / Dynamique / Vibration,1,32.0,50.0,32,32,32
Football,1,32.0,57.0,32,32,32
Environmental Engineering,1,32.0,51.0,32,32,32
Ecologie Aquatique,1,32.0,86.0,32,32,32
Dielectric Ferroelectric Piezoelectric,1,32.0,96.0,32,32,32
Biomolcule,1,32.0,86.0,32,32,32
Epidemiolgy,1,32.0,60.0,32,32,32
Vecteurs Et Pathognes Transmis Par Les,1,32.0,72.0,32,32,32
Optimisation De La Performance,1,32.0,57.0,32,32,32
Microalgue,1,32.0,86.0,32,32,32
Women'S Health,1,32.0,60.0,32,32,32
Bacterial Ecology And Evolution,1,32.0,76.0,32,32,32
Entomologie Mdicale,1,32.0,72.0,32,32,32
Chimie-Physique,2,31.5,81.5,45,18,63
Medical And Health Sciences,2,31.5,56.5,33,30,63
Matriaux Hybrides,1,31.0,67.0,31,31,31
Immunology Genetics Infectious Diseases,1,31.0,59.0,31,31,31
Transport Operator,1,31.0,91.0,31,31,31
Rseaux De Neurones,2,31.0,109.5,60,2,62
Riesz Basis,1,31.0,91.0,31,31,31
Multifunctional Ceramics,1,31.0,65.0,31,31,31
Theory Multivalued Operator Fixed Point Theory,1,31.0,91.0,31,31,31
Mat,1,31.0,91.0,31,31,31
Gribov Operator In Bargmann Space,1,31.0,91.0,31,31,31
Matriaux Multifonctionnels,3,30.67,137.67,42,8,92
Intelligent Systems,2,30.5,195.5,49,12,61
Biologie De La Conservation,2,30.5,51.5,39,22,61
Fault Diagnosis In Power Converters,1,30.0,93.0,30,30,30
Medical Applications,1,30.0,101.0,30,30,30
By-Products Valorization,1,30.0,52.0,30,30,30
Nanosciences,2,30.0,56.5,34,26,60
Preclinical Models,1,30.0,84.0,30,30,30
Vaccine Development,1,30.0,61.0,30,30,30
Cancer Biology,1,30.0,84.0,30,30,30
Plantes Mdicinales,1,30.0,43.0,30,30,30
Energy Storage Devices,1,30.0,63.0,30,30,30
Smart Textile,1,30.0,101.0,30,30,30
Therapeutics,1,30.0,84.0,30,30,30
Electric Machines,1,30.0,93.0,30,30,30
Sedimentology,2,30.0,202.0,53,7,60
Natural Substances,1,30.0,52.0,30,30,30
Integrated Physiology,1,30.0,55.0,30,30,30
E-Accessibility,1,30.0,109.0,30,30,30
Metastasis,1,30.0,84.0,30,30,30
Zoonosis,1,30.0,70.0,30,30,30
Natural Sciences/ Chemistry And Biology,1,30.0,50.0,30,30,30
Hyperthermia,1,30.0,101.0,30,30,30
Valorisation Des Biomolcules,1,30.0,64.0,30,30,30
Gnie Chimique Procds,1,30.0,43.0,30,30,30
Physiology Of Reproduction,1,30.0,55.0,30,30,30
Grid And High Performance Computing,1,30.0,109.0,30,30,30
Parasitologie Vtrinaire,1,30.0,70.0,30,30,30
Geodynamics,1,30.0,70.0,30,30,30
Fault Tolerant Control (Ftc) Ac Motor Drives,1,30.0,93.0,30,30,30
Phytochemistry And Medicinal Chemistry,1,30.0,120.0,30,30,30
Microbiologie De L'Environnement,1,30.0,69.0,30,30,30
Semiconducteurs En Couches Minces Et,1,29.0,116.0,29,29,29
Applied Geophysic,1,29.0,62.0,29,29,29
Discrete Mathematics,1,29.0,64.0,29,29,29
Rauzy Fractals,1,29.0,64.0,29,29,29
Matriaux Et Fonctionnalisation Des Surfaces,1,29.0,64.0,29,29,29
Huiles Essentielles,1,29.0,57.0,29,29,29
Conomie Et Gestion,1,29.0,75.0,29,29,29
Software Defined Networking,1,29.0,53.0,29,29,29
New Semiconductors Materials,1,29.0,50.0,29,29,29
Gntique Et Microbiologie Du Sol,1,29.0,51.0,29,29,29
Computational Biology,2,29.0,87.0,45,13,58
Sport Medicine,1,29.0,56.0,29,29,29
Food Engineering/Functional Food,1,29.0,42.0,29,29,29
Chimie Des Produits Naturels,1,29.0,64.0,29,29,29
Histoire/Anthropologie,1,29.0,45.0,29,29,29
Ecophysiology,3,29.0,117.0,72,4,87
Thin Layered Structures,1,29.0,50.0,29,29,29
Chemical And Process Engineering,1,29.0,50.0,29,29,29
Covid-19,1,29.0,56.0,29,29,29
Lc -Ms,1,29.0,57.0,29,29,29
Environmental Enginering,1,29.0,50.0,29,29,29
Plant Biotechnology And Bioinformatics,1,29.0,76.0,29,29,29
Polyphenols,1,29.0,57.0,29,29,29
Dilectrique,3,28.67,136.0,42,2,86
Environmental Science,1,28.0,51.0,28,28,28
Systems Engineering,1,28.0,46.0,28,28,28
Ecologie Microbienne,1,28.0,53.0,28,28,28
Botany And Ecology,1,28.0,75.0,28,28,28
Construction Materials,1,28.0,54.0,28,28,28
Geopolymeric Materials,1,28.0,44.0,28,28,28
Animal Biology,1,28.0,51.0,28,28,28
Systems & Control,1,28.0,46.0,28,28,28
Ceramic Materials,1,28.0,44.0,28,28,28
Pavements,1,28.0,54.0,28,28,28
Bioremdiation,1,28.0,53.0,28,28,28
Pollution And Cancer,1,28.0,51.0,28,28,28
